"Cau_hoi","Dap_an","Embedding"
"Câu 1: Điều kiện có sóng dừng trên dây chiều dài l khi một đầu dây cố định và đầu còn lại tự do là A. B. C. D.","",""
"Câu 2: Điều kiện có sóng dừng trên dây chiều dài l khi cả hai đầu dây cố định hay hai đầu tự do là A. B. C. D.","",""
"Câu 3: Một dây đàn hồi có chiều dài l, hai đầu cố định. Sóng dừng trên dây có bước sóng dài nhất là A. B. C. D.","",""
"Câu 4: Một dây đàn hồi có chiều dài L, một đầu cố định, một đầu tự do. Sóng dừng trên dây có bước sóng dài nhất là A. B. C. D.","",""
"Câu 5: Trên một sợi dây có chiều dài l, hai đầu cố định, đang có sóng dừng. Trên dây có một bụng sóng. Biết tốc độ truyền sóng trên dây là v không đổi. Tần số của sóng là: A. B. C. D.","",""
"Câu 6: Khi nói về sự phản xạ của sóng cơ trên vật cản cố định, phát biểu nào đúng? A. Tần số của sóng phản xạ luôn lớn hơn tần số của sóng tới. B. Sóng phản xạ luôn ngược pha với sóng tới ở điểm phản xạ. C. Tần số của sóng phản xạ luôn nhỏ hơn tần số của sóng tới. D. Sóng phản xạ luôn cùng pha với sóng tới ở điểm phản xạ.","",""
"Câu 7: Khi nói về sự phản xạ của sóng cơ trên vật cản tự do, phát biểu nào đúng? A. Tần số của sóng phản xạ luôn lớn hơn tần số của sóng tới. B. Sóng phản xạ luôn ngược pha với sóng tới ở điểm phản xạ. C. Tần số của sóng phản xạ luôn nhỏ hơn tần số của sóng tới. D. Sóng phản xạ luôn cùng pha với sóng tới ở điểm phản xạ.","",""
"Câu 8: Trong quá trình truyền sóng, khi gặp vật cản thì sóng bị phản xạ. Tại điểm phản xạ thì sóng tới và sóng phản xạ sẽ A. luôn cùng pha. B. ko cùng loại. C. luôn ngược pha. D. cùng tần số.","",""
"Câu 9: Trên một sợi dây có chiều dài ℓ, hai đầu cố định, đang có sóng dừng. Trên dây có một bụng sóng. Biết tốc độ truyền sóng trên dây là v không đổi. Tần số của sóng là : A. B. C. D.","",""
"Câu 10: Trên một sợi dây có sóng dừng với bước sóng là λ. Khoảng cách giữa hai nút sóng liền kề là A. B. 2λ. C. D.","",""
"Câu 11: Trên một sợi dây đàn hồi dài 1,8 m, hai đầu cố định, đang có sóng dừng với 6 bụng sóng. Biết sóng truyền trên dây có tần số 100 Hz. Tốc độ truyền sóng trên dây là bao nhiêu?","",""
"Câu 12: Trên một sợi dây đàn hồi dài 1m, hai đầu cố định, đang có sóng dừng với 5 nút sóng (kể cả hai đầu dây). Bước sóng của sóng truyền trên dây là bao nhiêu?","",""
"Câu 3: Một sợi dây AB căng ngang, đầu B cố định, đầu A gắn với một nhánh của âm thoa dao động điều hòa với tần số 25 Hz. Trên dây AB có một sóng dừng ổn định, A được coi là nút sóng. Tốc độ truyền sóng trên dây là 1,2 m/s. Tổng số bụng sóng và nút sóng trên dây là 27. Chiều dài của dây bằng bao nhiêu?","",""
"Câu 14: Trong hiện tượng sóng dừng trên dây. Khoảng cách giữa hai nút hay hai bụng sóng liên tiếp bằng A. một số nguyên lần bước sóng. B. một phần tư bước sóng. C. một nửa bước sóng. D. một bước sóng.","",""
"Câu 15: Trên một sợi dây đàn hồi đang có sóng dừng. Khoảng cách từ một nút đến một bụng kề nó bằng A. một bước sóng. B. một phần tư bước sóng. C. hai bước sóng. D. một nửa bước sóng.","",""
"Câu 16: Khi nói về sự phản xạ của sóng cơ trên vật cản cố định, phát biểu nào sau đây là đúng? A. Sóng phản xạ luôn ngược pha với sóng tới ở điểm phản xạ. B. Sóng phản xạ luôn cùng pha với sóng tới ở điểm phản xạ. C. Tần số của sóng phản xạ luôn lớn hơn tần số của sóng tới. D. Tần số của sóng phản xạ luôn nhỏ hơn tần số của sóng tới.","",""
"Câu 17: Chọn câu sai khi nói về sự phản xạ của sóng? A. nếu vật cản cố định thì tại thời điểm phản xạ, sóng phản xạ luôn cùng pha với sóng tới B. sóng phản xạ có cùng tần số với sóng tới C. nếu vật cản tự do thì tại điểm phản xạ, sóng phản xạ luôn cùng pha với sóng tới D. sóng phản xạ luôn cùng tốc độ truyền với sóng tới","",""
"Câu 18: Khi nói về sóng dừng trên một sợi dây đàn hồi, phát biểu nào sau đây sai? A. Khoảng cách giữa hai nút liên tiếp là nửa bước sóng. B. Là hiện tượng giao thoa của sóng tới và sóng phản xạ. C. Khoảng cách giữa hai bụng liên tiếp là một bước sóng. D. Khoảng cách từ một nút đến bụng liền kề bằng 0,25 bước sóng.","",""
"Câu 19: Khi sóng dừng xuất hiện trên một sợi dây, khoảng cách giữa hai nút sóng liên tiếp bằng A. một bước sóng. B. một phần tư bước sóng. C. hai lần bước sóng. D. nửa bước sóng.","",""
"Câu 20: Khi có sóng dừng trên sợi dây đàn hồi AB với đầu A là điểm nút và đầu B là điểm bụng thì A. điểm trên dây cách đầu A một đoạn bằng nữa bước sóng là điểm bụng. B. điểm trên dây cách đầu A một đoạn bằng một phần tư bước sóng là điểm nút. C. điểm trên dây cách đầu B một đoạn bằng ba phần tư bước sóng là điểm bụng. D. điểm trên dây cách đầu B một đoạn bằng một phần tư bước sóng là điểm nút.","",""
"Câu 21: Sóng dừng trên dây AB có chiều dài 32 cm với đầu A, B cố định. Tần số dao động của dây là 50 Hz, tốc độ truyền sóng trên dây là 4 m/s. Trên dây có A. 5 nút, 4 bụng. B. 4 nút, 4 bụng. C. 8 nút, 8 bụng. D. 9 nút, 8 bụng.","",""
"Câu 22: Một sợi dây đàn hồi dài 130 cm, có đầu A cố định, đầu B tự do dao động với tần số 100 Hz, vận tốc truyền sóng trên dây là 40 m/s. Số nút và bụng sóng trên dây là A. 6 nút sóng và 6 bụng sóng. B. 7 nút sóng và 6 bụng sóng. C. 7 nút sóng và 7 bụng sóng. D. 6 nút sóng và 7 bụng sóng.","",""
"Câu 23: Dây AB dài 30 cm căng ngang, 2 đầu cố định. Khi có sóng dừng thì tại N cách B khoảng 9 cm là nút thứ 3 [đếm từ đầu B và không kể B. Số nút trên dây AB (tính cả A và B) là: A. 9. B. 10. C. 11. D. 12.","",""
"Câu 24: Trên một sợi dây đàn hồi dài 1,2 m, hai đầu cố định, đang có sóng dừng. Biết sóng truyền trên dây có tần số 100 Hz và tốc độ 80 m/s. Số bụng sóng trên dây là bao nhiêu?","",""
"Câu 25: Một sợi dây AB dài 100 cm căng ngang, đầu B cố định, đầu A gắn với một nhánh của âm thoa dao động điều hòa với tần số 40 Hz. Trên dây AB có một sóng dừng ổn định, A được coi là nút sóng. Tốc độ truyền sóng trên dây là 20 m/s. Tìm số bụng sóng, số nút sóng.","",""
"Câu 26: Quan sát sóng dừng trên sợi dây AB, đầu A dao động điều hòa theo phương vuông góc với sợi dây (coi A là nút). Với đầu B tự do và tần số dao động của đầu A là 22 Hz thì trên dây có 6 nút. Nếu đầu B cố định và coi tốc độ truyền sóng trên dây như cũ, để vẫn có 6 nút thì tần số dao động của đầu A phải bằng bao nhiêu?","",""
"Câu 27: Một dây đàn hồi dài 0,6 m hai đầu cố định dao động với một bụng sóng. Tính bước sóng λ của sóng trên dây. Nếu dây dao động với 3 bụng sóng thì bước sóng là bao nhiêu?","",""
"Câu 28: Trên sợi dây đàn hồi, có chiều dài L = 1,2 m người ta tạo ra sóng dừng có hình dạng được mô tả ở Hình 13.6. Biết tần số rung của sợi dây là f = 13,3 Hz. Xác định tốc độ truyền sóng trên dây.","Sóng dừng khi gặp vật cản cố định | Sóng dừng khi gặp vật cản tự do HAI ĐẦU DÂY CỐ ĐỊNH | MỘT ĐẦU CỐ ĐỊNH MỘT ĐẦU TỰ DO HÌNH ẢNH ĐIỀU KIỆN VỀ CHIỀU DÀI DÂY | Đk để có sóng dừng trên một sợi dây có hai đầu cố định là chiều dài của sợi dây phải bằng một số nguyên lần nửa bước sóng. | Đk để có sóng dừng trên một sợi dây có một đầu cố định, một đầu tự do là chiều dài của sợi dây phải bằng một nửa nguyên lần nửa bước sóng. ĐK VỀ NÚT BỤNG | số bó sóng = số bụng sóng =k số nút sóng = k+1 | số bó sóng = k số bụng sóng = số nút sóng = k+1 TẦN SỐ CƠ BẢN TẦN SỐ TRÊN DÂY | f0, 2f0, 3f0, … , kf0 là số nguyên lần các tần số cơ bản | f0, 3f0, 5f0, … , (2k + 1)f0 là số lẻ lần các tần số cơ bản",""
"Độ lệch pha giữa hai dao động điều hòa cùng chu kì (cùng tần số) được xác định bởi công thức:","II. BÀI TẬP MINH HỌA",""
"BÀI TẬP 2. Đồ thị biểu diễn li độ theo thời gian của một vật được mô tả như hình vẽ. Hãy xác định, biên độ, chu kì, tần số, tần số góc và pha ban đầu","Hướng dẫn giải *Biên độ: A = 4 cm; Chu kì: T = 8 Ô = 8. 5 = 40 ms *Tần số: ; Tần số góc (rad/s) *Lúc t = 0 vật ở biên dương nên pha ban đầu là: . II. BÀI TẬP RÈN LUYỆN Đồ thị biểu diễn li độ theo thời gian của một vật được mô tả như hình vẽ. Hãy xác định, biên độ, chu kì, tần số, tần số góc và pha ban đầu Đồ thị li độ theo thời gian của hai vật dao động điều hòa A và B có cùng tần số được cho như hình vẽ. Tính độ lệch pha của dao động A so với dao động B trong các hình dưới đây? 1. Đồ thị hình sin Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Biên độ của vật dao động bằng A.1,0 cm. B. 2,0 cm. C. 4,0 cm. D. 3,0 cm. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Tần số của dao động là A. 2,0 Hz. B. 1,0 Hz. C. 1,5 Hz. D. 0,5 Hz. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Chu kì của của dao động là A. 10,0 s. B. 50,0. C. 0,02 s. D. 20,0 s. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Pha ban đầu của dao động là A. . B. rad. C. rad. D. rad. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Pha ban đầu của dao động là A. . B. rad. C. rad. D. rad. Đồ thị li độ của vật dao động điều hòa theo thời gian được biểu diễn như hình vẽ. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A. (cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc vận tốc theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.. B. . C. . D. . Hình bên là đồ thị biểu diễn sự phụ thuộc của vận tốc theo thời gian của một vật dao động điều hòa. Phương trình dao động của vật là A. . B. . C. . D. . Một vật dao động điều hòa theo phương trình . Hình bên là đồ thị biểu diễn sự phụ thuộc của vận tốc v của vật theo thời gian t. Ở thời điểm t = 0,2 s, pha của dao động có giá trị bằng A.. B.. C.. D.. 2. Đồ thị độ lệch pha Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hai chất điểm A và B dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x1 của chất điểm A và li độ x2 của chất điểm B theo thời gian t. Hai chất điểm A và B lệch pha nhau A. . B. . C.. D. . Hai vật dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x1 của chất điểm A và li độ x2 của chất điểm B theo thời gian t. Vật A dao động sớm pha hơn vật B một góc A. . B. . C.. D. . Hai vật M1 và M2 dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x1 của M1 và vận tốc v2 của M2 theo thời gian t. Hai dao động của M1 và M2 lệch pha nhau A.. B. . C. . D. . Hai vật M1 và M2 dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x1 của M1 và vận tốc v2 của M2 theo thời gian t. Hai dao động của M1 và M2 lệch pha nhau A. . B. . C. . D. . Hai chất điểm A và B dao động điều hòa cùng phương, cùng tần số. Trong quá trình dao động, gia tốc của chất điểm A là a1 và vận tốc của chất điểm B là v2. Hình bên là đồ thị biễu diễn sự phụ thuộc của a1 và v2 theo thời gian t. Hai dao động điều hòa A và B lệch pha nhau A.rad. B.rad. C.rad. D.rad. 3. Một số đồ thị khác Một vật dao động điều hòa trên trục Ox với tần f. Hình bên là đồ thị mô tả mối quan hệ giữa li độ dao động x và vận tốc tức thời v của vật. Vận tốc của vật có độ lớn cực đại bằng A. cm/s. B. cm/s. C. 70 cm/s. D. 68 cm/s. Một vật dao động điều hòa trên trục Ox với tần f. Hình bên là đồ thị mô tả mối quan hệ giữa gia tốc a của vật x và vận tốc tức thời v của vật. Vận tốc của vật có độ lớn cực đại bằng A. cm/s. B. cm/s. C. 70 cm/s. D. 68 cm/s. Một vật dao động điều hòa dọc theo trục Ox, có đồ thị biểu diễn sự phụ thuộc của bình phương vận tốc (v2) vào li độ x như hình vẽ. Tần số góc của vật là A. 10 rad/s. B. 2 rad/s. C. 20 rad/s. D. 40 rad/s. Một chất điểm dao động điều hòa quanh vị trí cân bằng O với chiều dài quỹ đạo L = 8 cm. Hình bền là đồ thị biểu diễn pha dao động của chất điểm theo thời gian t. Phương trình dao động của chất điểm là A.(cm). B. (cm). C. (cm). D. (cm). ---HẾT--- THẦY HOÀNG SƯ ĐIỂU LỚP LÍ 11 KOP SĐT: 0909.928.109 | CHỦ ĐỀ 03: ĐỒ THỊ TRONG DAO ĐỘNG ĐIỀU HÒA LÍ THUYẾT & BÀI TẬP PHÂN THEO LOGIC (Bám sát chương trình GDPT mới)",""
"Câu 1: Một vật dao động điều hoà với pt x = 5cos(2t +/3)(cm) Tính li độ, vận tốc và gia tốc của vật tại thời điểm t = 0,5s Tính tốc độ cực đại và gia tốc cực đại của vật","",""
"Câu 2: Một con lắc lò xo có độ cứng 50N/m, vật có khối lượng 200g; dao động điều hoà với biên độ 5cm theo phương thẳng đứng. Lấy 2 = 10. Chọn gốc toạ độ tại VTCB, chiều dương hướng lên, gốc thời gian lúc vật qua vị trí có li độ x = 2,5cm theo chiều dương a. Viết phương trình dao động của vật b. Tính cơ năng của con lắc c. Tính động năng của vật khi nó qua vị trí x = 2cm","",""
"Câu 3: Một con lắc đơn có chiều dài 1m, dao động điều hoà tại nơi có gia tốc trọng trường g = 10m/s2. Lấy 2 = 10. Tính chu kì và tần số của con lắc.","",""
"Câu 4: Cho hai điện tích q1 = 4.10-6C và q2 = - 4.10-6C đặt tại hai điểm A và B cách nhau 10cm trong không khí. a. Tính và vẽ lực điện tương tác giữa hai điện tích. b. Tính lực điện tổng hợp tác dụng lên q0 = 4.10-6C trong các trường hợp sau:","+ TH1: q0 cách A 4cm, cách B 6cm + TH2: q0 cách A 2cm, cách B 12cm + TH3: q0 cách A 6cm, cách B 8cm + TH4: q0 cách A 10cm, cách B 10cm c. Xác định độ lớn cường độ điện trường do hai điện tích này gây ra tại điểm M là trung điểm của AB",""
"Câu 5: Cho 3 tụ điện C1 = 10F; C2 = 5F; C3 = 4F được mắc vào nguồn điện có hiệu điện thế 38V như hình vẽ. a. Tính điện dung của bộ tụ và hiệu điện thế giữa hai cực của mội tụ điện b. Tính năng lượng của bộ tụ c. Nếu tụ C3 bị đánh thủng thì điện tích trên C1 bằng bao nhiêu?","",""
"Câu 6: Cho mạch điện như hình vẽ. E = 48V; r = 2; R1 = 2; R2 = 8; R3 = 6; R4 = 16. Bỏ qua điện trở của dây nối. Tính điện trở tương đương mạch ngoài. Cường độ dòng điện của mạch chính và qua các điện trở. Nếu mắc giữa M, N một tụ điện có điện dung C = 2F khi đó tụ tích được điện tích bao nhiêu? Bản dương của tụ nối với điểm nào? Nếu mắc giữa A, B một Ampe kế thì ampe kế chỉ bao nhiêu?","",""
"Câu 7: Một điện tích điểm dương q đặt trong môi trường có hằng số điện môi = 2,1 gây ra một điện trường có cường độ E = 25000V/m tại điểm M cách q một đoạn 10cm. Tính q?","",""
"Câu 8: Cho sơ đồ mạch điện như hình vẽ. 4 nguồn giống nhau, mỗi nguồn có E = 8V và r = 0,5. Đèn Đ(6V – 3W) sáng bình thường; R1 = 18. Tính suất điện động và điện trở tỏng của bộ nguồn. Tính R2 và nhiệt lượng toả ra trên R2 trong 5 phút Tính hiệu suất của bộ nguồn và công suất của mỗi nguồn.","",""
"Câu 9. Một sợi dây đồng có điện trở 74Ω ở 50oC, có điện trở suất α = 4,1.10-3K-1. Tính điện trở của sợi dây đó ở 100o C.","",""
"Câu 10: Cho sơ đồ mạch điện như hình vẽ. Biết E = 24V và r = 4; biến trở R = 20; đèn ghi 6V – 6W. Đầu C của biến trở có thể trượt dọc từ A đến B Điều chỉnh biến trở để RAC = 6. Tính cường độ dòng điện mạch chính, công suất tiêu thụ của đèn, xác định độ sáng đèn Xác định vị trí con chạy C để đèn sáng bình thường.","",""
"Câu 11: Một sợi dây bằng nhôm có điện trở 120Ω ở nhiệt độ 20oC, điện trở của sợi dây đó ở 179oC là 204Ω. Tính hệ số nhiệt điện trở suất của nhôm.","",""
"Câu 12: Cho sơ đồ mạch điện như hình vẽ. RA = RA1 =0; RV rất lớn; RMN = 12; R1 =8. Khi C ở M, ampe kế A chỉ 2,5A; khi C ở N vôn kế chỉ 24V. Tìm E, r và số chỉ ampe kế A1 khi C ở M, N Khi C di chuyển từ M đến N, số chỉ các máy đo thay đổi như thế nào?","",""
"Câu 1: Một con lắc lò xo gồm một vật nhỏ khối lượng m và lò xo có độ cứng k. Con lắc dao động điều hòa với tần số góc là A. B. C. D.","",""
"Câu 2: Con lắc lò xo, đầu trên cố định, đầu dưới gắn vật có khối lượng m dđđh theo phương thẳng đứng ở nơi có gia tốc trọng trường g. Khi vật ở vị trí cân bằng, độ giãn của lò xo là Chu kỳ dao động của con lắc được tính bằng biểu thức A. B. C. D.","",""
"Câu 3: Năng lượng của một vật dđđh là Khi li độ bằng một nửa biên độ thì động năng của nó bằng: A. B. C. D.","",""
"Câu 4: Công thức tính chu kì dao động của con lắc lò xo là A. T = 2π B. T = 2π C. T = 2 D. T =","",""
"Câu 5: Một con lắc lò xo gồm viên bi nhỏ có khối lượng m và lò xo khối lượng không đáng kể có độ cứng k, dao động điều hoà theo phương thẳng đứng tại nơi có gia tốc rơi tự do là g. Khi viên bi ở vị trí cân bằng, lò xo dãn một đoạn Chu kỳ dao động điều hoà của con lắc này là A. B. C. D.","",""
"Câu 6: Công thức được dùng để tính tần số dao động của con lắc lò xo là A. f = B. f = C. f = D. f = 2π","",""
"Câu 7: Con lắc lò xo có khối lượng độ cứng dao động điều hoà theo phương thẳng đứng. Biết khi vật có li độ 2 cm thì vận tốc của vật bằng 40 cm/s. Năng lượng dao động của vật là bao nhiêu?","",""
"Câu 8: Một con lắc lò xo gồm lò xo có độ cứng k treo quả nặng có khối lượng m. Hệ dao động với chu kỳ T. Độ cứng của lò xo là A. B. C. D.","",""
"Câu 9: Một con lắc lò xo dao động điều hòa với biên độ 6cm và chu kì 1s. Lúc t = 0, vật đi qua vị trí cân bằng. Quãng đường đi được của vật trong khoảng thời gian 2,75s kể từ thời điểm t=0 là: A.76cm B. 48cm C. 50cm D. 66cm","",""
"Câu 10: Một con lắc lò xo gồm vật có khối lượng m và lò xo có độ cứng k dđđh. Nếu tăng độ cứng k lên 2 lần và giảm khối lượng m đi 8 lần thì tần số dđ của vật sẽ : A. tăng 4 lần. B. giảm 2 lần. C. tăng 2 lần. D. giảm 4 lần.","",""
"Câu 11: Trong dao động điều hòa, năng lượng của con lắc lò xo sẽ A. giảm lần khi tần số góc tăng lên lần và biên độ giảm lần. B. tăng lần khi tần số góc tăng lần và biên độ giảm lần. C. tăng lần khi tần số dao động và biên độ tăng lên lần. D. giảm lần khi tần số tăng lần và biên độ giảm lần.","",""
"Câu 12: Một con lắc lò xo treo thẳng đứng, tại vị trí cân bằng người ta thấy lò xo bị dãn 10cm. Lấy g=10m/s2. Chu kì và tần số của con lắc là: A. B. C. D.","",""
"Câu 13: Một con lắc lò xo nằm ngang lò xo nhẹ có độ cứng k=100N/m và vật nhỏ có khối lượng m=100g. Kích thích cho con lắc dao động, lấy . Tần số của con lắc là: A. 5 Hz B. 6 Hz C. 10 Hz D. 12 Hz","",""
"Câu 14: Một con lắc lò xo có vật m = 200g dđđh. Trong 10s thực hiện được 50 dđ. Lấy π2 = 10. Độ cứng của lò xo là: A. 50 N/m B. 100 N/m C. 150 N/m D. 200 N/m","",""
"Câu 15: Một con lắc lò xo dao động điều hòa có thời gian giữa hai lần liên tiếp đi qua vị trí cân bằng là 0,2s. Độ cứng lò xo là 100 N/m. Lấy π2 = 10. Vật nặng có khối lượng là: A. 100g B. 75g C. 400g D. 200g","",""
"Câu 16: Một vật có khối lượng m = 400g được treo vào lò xo có khối lượng không đáng kể, độ cứng k=40N/m. Đưa vật đến vị trí lò xo không biến dạng rồi thả nhẹ, vật dao động điều hòa. Chọn gốc tọa độ tại VTCB, chiều dương hướng xuống, gốc thời gian là lúc vật bắt đầu dao động. Lấy g=10m/s2. Phương trình dao động của vật là: A. x = 10cos(10t) cm. B. x = 10cos(10t+ π/2) cm C. x = 10cos(10t+π) cm D. x = 10cos(10t- π/2) cm","",""
"Câu 17. Một con lắc lò xo thẳng đứng độ dài tự nhiên l0 = 30cm. Khi vật dao động chiều dài biến thiên từ 32cm đến 38cm. Lấy g = 10m/s2. Vận tốc dao động cực đại là: A. B. C. D.","",""
"Câu 18: Một vật khối lượng m=500g treo vào một lò xo có độ cứng k treo thẳng đứng thì con lắc dao động với chu kì T = 0,314s. Khi treo thêm một gia trọng khối lượng Δm=50g thì con lắc dđ với chu kì: A. 0,628s B. 0,2s C. 0,33s D. 0,565s","",""
"Câu 19: Một đầu của lò xo được treo vào điểm cố định O, đầu kia treo một vật nặng m1 thì chu kì dđ là T1=1,2s. Khi thay bằng vật m2 thì chu kì dđ là T2 = 1,6s. Chu kì dđ khi treo đồng thời m1 và m2 vào lò xo là : A. 0,4s. B. 2,4s. C. 2s. D. 1,4s","",""
"Câu 20: Một con lắc lò xo có khối lượng dao động điều hòa theo phương nằm ngang. Vận tốc có độ lớn cực đại bằng 0,6m/s. Chọn gốc thời gian là lúc vật qua vị trí theo chiều âm và tại đó động năng bằng thế năng. Chọn gốc tọa độ là VTCB. Phương trình dao động của vật có những dạng nào sau đây? A. x = 6cos(10t+ π/4) cm B. x = 6cos(10t+ 3π/4) cm C. x = cos(10t+ π/4) cm D. x = 6cos(10t- π/4) cm","",""
"Câu 21: Khi treo một vật m vào một lò xo treo thẳng đứng thì làm cho lò xo giãn ra Δl = 25cm. Từ vị trí cân bằng O kéo vật xuống theo phương thẳng đứng một đoạn 2cm rồi truyền cho nó vận tốc π cm/s hướng về vị trí cân bằng, vật dao động điều hòa. Chọn chiều dương hướng xuống, t=0 lúc thả vật. Lấy g = π2(m/s2). Phương trình dao động của vật. A. x = 2cos(2πt) cm B. x = 4cos(2πt+ π/6) cm C. x = 4cos(2πt+ π/2) cm D. x = 4cos(2πt+ π/3) cm","",""
"Câu 23: Một con lắc lò xo treo thẳng đứng, vật nặng khối lượng m=250g. Chọn Ox thẳng đứng, chiều dương hướng xuống, gốc tọa độ tại vị trí cân bằng. Kéo vật xuống dưới đến vị trí lò xo giãn 6,5cm rồi thả nhẹ, vật dđđh với năng lượng 80mJ. Chọn t=0","lúc thả vật, lấy g=10m/s2. Phương trình dao động của vật. A. x = 6,5cos(5πt) cm B. x = 4cos(20t+π) cm C. x = 6,5cos(5πt+ π/2) cm D. x = 4cos(20t) cm",""
"Câu 13: Một con lắc lò xo treo thẳng đứng, gồm một quả cầu nhỏ có khối lượng m=100g và lò xo có k=20N/m. Kéo quả cầu thẳng đứng xuống dưới cách vị trí cân bằng một đoạn rồi thả cho quả cầu hướng trở về vị trí cân bằng với vận tốc có độ lớn . Chọn t=0 lúc thả quả cầu, trục Ox hướng xuống, gốc tọa độ O tại vị trí cân bằng. Lấy g=10m/s2. Phương trình dao động của quả cầu là: A. B. C. D.","",""
"Câu 14: Một con lắc lò xo treo thẳng đứng, vật m=400g, lò xo có độ cứng k=100N/m.Lấy g=10m/s2, π2=10. Kéo vật xuống dưới vị trí cân bằng một đoạn 2cm rồi truyền cho vật một vận tốc hướng lên. Chọn gốc tọa độ tại vị trí cân bằng, chiều dương hướng xuống, gốc thời gian lúc truyền vận tốc cho vật. Phương trình dao động của vật là A. C. B. D.","",""
"Câu 15: Treo quả cầu m vào một lò xo treo thẳng đứng thì nó giãn ra 25cm. Từ vị trí cân bằng kéo quả cầu xuống theo phương thẳng đứng 5cm rồi buông nhẹ. Chọn t0 = 0 là lúc vật qua vị trí cân bằng theo chiều dương, hướng xuống và gốc toạ độ tại vị trí cân bằng. Lấy g = 10m/s2; 2 = 10. Phương trình dao động của vật là A. C. B. D.","",""
"Câu 20: Một con lắc lò xo có vật nặng m thì dao động với chu kì T, nếu thay m bằng vật khác có khối lượng m’=4m thì dao động với chu kì T’. Tỉ lệ là: A. 0,5 B. 4 C. 2 D. 0,25","",""
"Câu 21: Khi gắn quả cầu m1 vào lò xo thì nó dao động với chu kì T1=0,4s. Khi gắn quả cầu m2 vào lò xo đó thì nó dđ với chu kì T2=0,9s. Chu kì của con lắc khi gắn quả cầu có khối lượng vào lò xo là : A. 0,18s B. 0,25s C. 0,6s D. 0,36s","",""
"Câu 22: Khi gắn quả cầu khối lượng m1 vào lò xo thì con lắc dao động với chu kì T1=0,6s.","Khi gắn quả cầu khối lượng m2 vào lò xo thì con lắc lại dao động với chu kì T2=0,8s. Khi gắn quả cầu có khối lượng m=m2-m1 thì con lắc dao động với chu kì: A. 0,1s B. 1,4s C. 0,2s D. 0,53s",""
"Câu 23: Một con lắc lò xo gồm vật có khối lượng m và lò xo có độ cứng k, dao động điều hòa. Nếu tăng độ cứng k lên 2 lần và giảm khối lượng m đi 8 lần thì tần số dao động của vật sẽ : A. tăng 2 lần. B. giảm 4 lần. C. giảm 2 lần. D. tăng 4 lần.","",""
"Câu 24: Hai con lắc dao động điều hoà độ cứng bằng nhau nhưng khối lượng các vật hơn kém nhau 90g. Trong cùng 1 khoảng thời gian con lắc 1 thực hiện 12 dao động trong khi con lắc 2 thực hiện 15 dao động. Khối lượng các vật nặng của 2 con lắc là A. 450g và 360g. B. 270g và 180g. C. 250g và 160g. D. 210g và 120g.","",""
